1000,0.064
2000,0.074
3000,0.074
4000,0.075
5000,0.075
6000,0.106
7000,0.107
8000,0.11
9000,0.111
10000,0.112
11000,0.112
12000,0.113
13000,0.114
14000,0.114
15000,0.115
16000,0.116
17000,0.117
18000,0.118
19000,0.121
20000,0.122
21000,0.122
22000,0.122
23000,0.123
24000,0.123
25000,0.123
26000,0.124
27000,0.124
28000,0.124
29000,0.125
30000,0.126
31000,0.127
32000,0.127
33000,0.13
34000,0.131
35000,0.131
36000,0.131
37000,0.132
38000,0.132
39000,0.133
40000,0.134
41000,0.134
42000,0.134
43000,0.135
44000,0.135
45000,0.135
46000,0.136
47000,0.136
48000,0.136
49000,0.137
50000,0.137
51000,0.138
52000,0.138
53000,0.138
54000,0.139
55000,0.139
56000,0.14
57000,0.14
58000,0.14
59000,0.14
60000,0.141
61000,0.141
62000,0.142
63000,0.142
64000,0.142
65000,0.142
66000,0.143
67000,0.144
68000,0.144
69000,0.145
70000,0.146
71000,0.146
72000,0.146
73000,0.147
74000,0.147
75000,0.148
76000,0.149
77000,0.149
78000,0.15
79000,0.151
80000,0.151
81000,0.151
82000,0.151
83000,0.151
84000,0.152
85000,0.152
86000,0.152
87000,0.152
88000,0.153
89000,0.153
90000,0.153
91000,0.154
92000,0.154
93000,0.154
94000,0.154
95000,0.154
96000,0.155
97000,0.155
98000,0.156
99000,0.156
100000,0.156
101000,0.157
102000,0.157
103000,0.158
104000,0.158
105000,0.159
106000,0.159
107000,0.159
108000,0.16
109000,0.16
110000,0.161
111000,0.161
112000,0.161
113000,0.161
114000,0.162
115000,0.162
116000,0.162
117000,0.163
118000,0.163
119000,0.163
120000,0.164
121000,0.164
122000,0.164
123000,0.165
124000,0.165
125000,0.165
126000,0.166
127000,0.166
128000,0.167
129000,0.167
130000,0.168
131000,0.168
132000,0.168
133000,0.169
134000,0.169
135000,0.169
136000,0.17
137000,0.17
138000,0.17
139000,0.17
140000,0.17
141000,0.171
142000,0.171
143000,0.171
144000,0.171
145000,0.171
146000,0.172
147000,0.172
148000,0.18
149000,0.18
150000,0.18
151000,0.181
152000,0.181
153000,0.182
154000,0.182
155000,0.182
156000,0.182
157000,0.183
158000,0.183
159000,0.183
160000,0.183
161000,0.184
162000,0.184
163000,0.184
164000,0.185
165000,0.185
166000,0.185
167000,0.186
168000,0.186
169000,0.186
170000,0.187
171000,0.187
172000,0.188
173000,0.188
174000,0.188
175000,0.189
176000,0.189
177000,0.189
178000,0.19
179000,0.19
180000,0.19
181000,0.19
182000,0.191
183000,0.191
184000,0.192
185000,0.192
186000,0.192
187000,0.192
188000,0.193
189000,0.193
190000,0.194
191000,0.194
192000,0.194
193000,0.194
194000,0.195
195000,0.195
196000,0.195
197000,0.195
198000,0.195
199000,0.196
200000,0.196
